Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1929/06/22,1929,06,22,BSN192906222,Brooklyn Dodgers,Boston Braves,Braves Field,Bill Klem,Edward McLaughlin,(none),Bob Hart,,,Bill Klem;Edward McLaughlin;Bob Hart,,
1929/06/23,1929,06,23,BSN192906231,Philadelphia Phillies,Boston Braves,Braves Field,Edward McLaughlin,Bob Hart,(none),Bill Klem,,,Edward McLaughlin;Bob Hart;Bill Klem,,
1929/06/23,1929,06,23,BSN192906232,Philadelphia Phillies,Boston Braves,Braves Field,Bob Hart,Bill Klem,(none),Edward McLaughlin,,,Bob Hart;Bill Klem;Edward McLaughlin,,
1929/06/25,1929,06,25,BSN192906251,Philadelphia Phillies,Boston Braves,Braves Field,Cy Pfirman,Dolly Stark,(none),Charlie Moran,,,Cy Pfirman;Dolly Stark;Charlie Moran,,
1929/06/26,1929,06,26,BSN192906261,Philadelphia Phillies,Boston Braves,Braves Field,Cy Pfirman,Dolly Stark,(none),Charlie Moran,,,Cy Pfirman;Dolly Stark;Charlie Moran,,
1929/06/26,1929,06,26,BSN192906262,Philadelphia Phillies,Boston Braves,Braves Field,Charlie Moran,Cy Pfirman,(none),Dolly Stark,,,Charlie Moran;Cy Pfirman;Dolly Stark,,
1929/07/02,1929,07,02,BSN192907021,New York Giants,Boston Braves,Braves Field,Charlie Moran,Bob Hart,(none),George Magerkurth,,,Charlie Moran;Bob Hart;George Magerkurth,,
1929/07/02,1929,07,02,BSN192907022,New York Giants,Boston Braves,Braves Field,Bob Hart,George Magerkurth,(none),Charlie Moran,,,Bob Hart;George Magerkurth;Charlie Moran,,
1929/07/03,1929,07,03,BSN192907030,New York Giants,Boston Braves,Braves Field,George Magerkurth,Charlie Moran,(none),Bob Hart,,,George Magerkurth;Charlie Moran;Bob Hart,,
1929/07/04,1929,07,04,BSN192907041,New York Giants,Boston Braves,Braves Field,Charlie Moran,Bob Hart,(none),George Magerkurth,,,Charlie Moran;Bob Hart;George Magerkurth,,
1929/07/06,1929,07,06,BSN192907060,Chicago Cubs,Boston Braves,Braves Field,Barry McCormick,Dolly Stark,(none),Ernie Quigley,,,Barry McCormick;Dolly Stark;Ernie Quigley,,
1929/07/07,1929,07,07,BSN192907070,Chicago Cubs,Boston Braves,Braves Field,Ernie Quigley,Barry McCormick,(none),Dolly Stark,,,Ernie Quigley;Barry McCormick;Dolly Stark,,
1929/07/08,1929,07,08,BSN192907080,Chicago Cubs,Boston Braves,Braves Field,Barry McCormick,Dolly Stark,(none),Ernie Quigley,,,Barry McCormick;Dolly Stark;Ernie Quigley,,
1929/07/09,1929,07,09,BSN192907090,Chicago Cubs,Boston Braves,Braves Field,Ernie Quigley,Barry McCormick,(none),Dolly Stark,,,Ernie Quigley;Barry McCormick;Dolly Stark,,
1929/07/10,1929,07,10,BSN192907100,Cincinnati Reds,Boston Braves,Braves Field,Charlie Moran,Lou Jorda,(none),George Magerkurth,,,Charlie Moran;Lou Jorda;George Magerkurth,,
1929/07/11,1929,07,11,BSN192907110,Cincinnati Reds,Boston Braves,Braves Field,Lou Jorda,George Magerkurth,(none),Charlie Moran,,,Lou Jorda;George Magerkurth;Charlie Moran,,
1929/07/12,1929,07,12,BSN192907120,Cincinnati Reds,Boston Braves,Braves Field,George Magerkurth,Charlie Moran,(none),Lou Jorda,,,George Magerkurth;Charlie Moran;Lou Jorda,,
1929/07/13,1929,07,13,BSN192907130,Cincinnati Reds,Boston Braves,Braves Field,Charlie Moran,Lou Jorda,(none),George Magerkurth,,,Charlie Moran;Lou Jorda;George Magerkurth,,
1929/07/15,1929,07,15,BSN192907150,Pittsburgh Pirates,Boston Braves,Braves Field,Cy Pfirman,Edward McLaughlin,(none),Bill Klem,,,Cy Pfirman;Edward McLaughlin;Bill Klem,,
1929/07/16,1929,07,16,BSN192907160,Pittsburgh Pirates,Boston Braves,Braves Field,Edward McLaughlin,Bill Klem,(none),Cy Pfirman,,,Edward McLaughlin;Bill Klem;Cy Pfirman,,
1929/07/17,1929,07,17,BSN192907171,Pittsburgh Pirates,Boston Braves,Braves Field,Bill Klem,Cy Pfirman,(none),Edward McLaughlin,,,Bill Klem;Cy Pfirman;Edward McLaughlin,,
1929/07/17,1929,07,17,BSN192907172,Pittsburgh Pirates,Boston Braves,Braves Field,Bill Klem,Cy Pfirman,(none),Edward McLaughlin,,,Bill Klem;Cy Pfirman;Edward McLaughlin,,
1929/07/18,1929,07,18,BSN192907180,St. Louis Cardinals,Boston Braves,Braves Field,Bob Hart,Lou Jorda,(none),Beans Reardon,,,Bob Hart;Lou Jorda;Beans Reardon,Greasy Neale ejected by Beans Reardon,
1929/07/20,1929,07,20,BSN192907200,St. Louis Cardinals,Boston Braves,Braves Field,Lou Jorda,Beans Reardon,(none),Bob Hart,,,Lou Jorda;Beans Reardon;Bob Hart,,
1929/07/21,1929,07,21,BSN192907211,St. Louis Cardinals,Boston Braves,Braves Field,Beans Reardon,Bob Hart,(none),Lou Jorda,,,Beans Reardon;Bob Hart;Lou Jorda,,
1929/07/21,1929,07,21,BSN192907212,St. Louis Cardinals,Boston Braves,Braves Field,Bob Hart,Lou Jorda,(none),Beans Reardon,,,Bob Hart;Lou Jorda;Beans Reardon,,
1929/08/10,1929,08,10,BSN192908100,Chicago Cubs,Boston Braves,Braves Field,Lou Jorda,George Magerkurth,(none),(none),,,Lou Jorda;George Magerkurth,,
1929/08/11,1929,08,11,BSN192908110,Chicago Cubs,Boston Braves,Braves Field,George Magerkurth,Cy Rigler,(none),Lou Jorda,,,George Magerkurth;Cy Rigler;Lou Jorda,,
1929/08/12,1929,08,12,BSN192908120,Chicago Cubs,Boston Braves,Braves Field,Cy Rigler,Lou Jorda,(none),George Magerkurth,,,Cy Rigler;Lou Jorda;George Magerkurth,,
1929/08/13,1929,08,13,BSN192908130,Chicago Cubs,Boston Braves,Braves Field,Lou Jorda,George Magerkurth,(none),Cy Rigler,,,Lou Jorda;George Magerkurth;Cy Rigler,,
1929/08/14,1929,08,14,BSN192908140,Pittsburgh Pirates,Boston Braves,Braves Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,,
1929/08/15,1929,08,15,BSN192908150,Pittsburgh Pirates,Boston Braves,Braves Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,,
1929/08/17,1929,08,17,BSN192908170,Pittsburgh Pirates,Boston Braves,Braves Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,Bob Smith ejected by Charlie Moran,
1929/08/18,1929,08,18,BSN192908180,Cincinnati Reds,Boston Braves,Braves Field,Bob Hart,Dolly Stark,(none),Bill Klem,,,Bob Hart;Dolly Stark;Bill Klem,,
1929/08/20,1929,08,20,BSN192908200,Cincinnati Reds,Boston Braves,Braves Field,Dolly Stark,Bill Klem,(none),Bob Hart,,,Dolly Stark;Bill Klem;Bob Hart,,
1929/08/21,1929,08,21,BSN192908211,Cincinnati Reds,Boston Braves,Braves Field,Bill Klem,Bob Hart,(none),Dolly Stark,,,Bill Klem;Bob Hart;Dolly Stark,,
1929/08/21,1929,08,21,BSN192908212,Cincinnati Reds,Boston Braves,Braves Field,Bob Hart,Dolly Stark,(none),Bill Klem,,,Bob Hart;Dolly Stark;Bill Klem,,
1929/08/22,1929,08,22,BSN192908220,St. Louis Cardinals,Boston Braves,Braves Field,Cy Pfirman,Barry McCormick,(none),(none),,,Cy Pfirman;Barry McCormick,,
1929/08/23,1929,08,23,BSN192908230,St. Louis Cardinals,Boston Braves,Braves Field,Barry McCormick,Cy Pfirman,(none),(none),,,Barry McCormick;Cy Pfirman,,
1929/08/24,1929,08,24,BSN192908240,St. Louis Cardinals,Boston Braves,Braves Field,Cy Pfirman,Barry McCormick,(none),(none),,,Cy Pfirman;Barry McCormick,,
1929/08/25,1929,08,25,BSN192908250,St. Louis Cardinals,Boston Braves,Braves Field,Barry McCormick,Cy Pfirman,(none),(none),,,Barry McCormick;Cy Pfirman,,
1929/08/29,1929,08,29,BSN192908290,Philadelphia Phillies,Boston Braves,Braves Field,Cy Pfirman,Dolly Stark,(none),Edward McLaughlin,,,Cy Pfirman;Dolly Stark;Edward McLaughlin,,
1929/08/30,1929,08,30,BSN192908300,Philadelphia Phillies,Boston Braves,Braves Field,Dolly Stark,Edward McLaughlin,(none),Cy Pfirman,,,Dolly Stark;Edward McLaughlin;Cy Pfirman,,
1929/08/31,1929,08,31,BSN192908310,Philadelphia Phillies,Boston Braves,Braves Field,Edward McLaughlin,Cy Pfirman,(none),Dolly Stark,,,Edward McLaughlin;Cy Pfirman;Dolly Stark,Al Spohrer ejected by Cy Pfirman;Johnny Evers ejected by Cy Pfirman,
1929/10/05,1929,10,05,BSN192910051,Brooklyn Dodgers,Boston Braves,Braves Field,Bob Hart,Cy Pfirman,(none),(none),,,Bob Hart;Cy Pfirman,,
1929/10/05,1929,10,05,BSN192910052,Brooklyn Dodgers,Boston Braves,Braves Field,Cy Pfirman,Bob Hart,(none),(none),,,Cy Pfirman;Bob Hart,,
1929/10/06,1929,10,06,BSN192910060,New York Giants,Boston Braves,Braves Field,Bob Hart,Cy Pfirman,(none),(none),,,Bob Hart;Cy Pfirman,,
1929/04/25,1929,04,25,CHA192904250,St.Louis Browns,Chicago White Sox,Comiskey Park I,Bick Campbell,Brick Owens,(none),Red Ormsby,,,Bick Campbell;Brick Owens;Red Ormsby,,
1929/04/26,1929,04,26,CHA192904260,St.Louis Browns,Chicago White Sox,Comiskey Park I,Brick Owens,Red Ormsby,(none),Bick Campbell,,,Brick Owens;Red Ormsby;Bick Campbell,,
1929/04/27,1929,04,27,CHA192904270,Cleveland Guardians,Chicago White Sox,Comiskey Park I,Red Ormsby,Bick Campbell,(none),Brick Owens,,,Red Ormsby;Bick Campbell;Brick Owens,,
1929/04/28,1929,04,28,CHA192904280,Cleveland Guardians,Chicago White Sox,Comiskey Park I,Bick Campbell,Brick Owens,(none),Red Ormsby,,,Bick Campbell;Brick Owens;Red Ormsby,,
1929/04/29,1929,04,29,CHA192904290,Cleveland Guardians,Chicago White Sox,Comiskey Park I,Brick Owens,Red Ormsby,(none),Bick Campbell,,,Brick Owens;Red Ormsby;Bick Campbell,,
1929/04/30,1929,04,30,CHA192904300,Cleveland Guardians,Chicago White Sox,Comiskey Park I,Brick Owens,Red Ormsby,(none),Bick Campbell,,,Brick Owens;Red Ormsby;Bick Campbell,,
1929/05/03,1929,05,03,CHA192905030,Detroit Tigers,Chicago White Sox,Comiskey Park I,Harry Geisel,Dick Nallin,(none),Bill Dinneen,,,Harry Geisel;Dick Nallin;Bill Dinneen,,
1929/05/04,1929,05,04,CHA192905040,New York Yankees,Chicago White Sox,Comiskey Park I,Bill Guthrie,George Moriarty,(none),George Hildebrand,,,Bill Guthrie;George Moriarty;George Hildebrand,,
1929/05/05,1929,05,05,CHA192905050,New York Yankees,Chicago White Sox,Comiskey Park I,George Moriarty,George Hildebrand,(none),Bill Guthrie,,,George Moriarty;George Hildebrand;Bill Guthrie,,
1929/05/06,1929,05,06,CHA192905060,New York Yankees,Chicago White Sox,Comiskey Park I,George Hildebrand,Bill Guthrie,(none),George Moriarty,,,George Hildebrand;Bill Guthrie;George Moriarty,,
1929/05/07,1929,05,07,CHA192905070,Philadelphia Athletics,Chicago White Sox,Comiskey Park I,Bill Guthrie,George Moriarty,(none),George Hildebrand,,,Bill Guthrie;George Moriarty;George Hildebrand,,
1929/05/08,1929,05,08,CHA192905080,Philadelphia Athletics,Chicago White Sox,Comiskey Park I,George Moriarty,George Hildebrand,(none),Bill Guthrie,,,George Moriarty;George Hildebrand;Bill Guthrie,,
1929/05/09,1929,05,09,CHA192905090,Philadelphia Athletics,Chicago White Sox,Comiskey Park I,George Hildebrand,Bill Guthrie,(none),George Moriarty,,,George Hildebrand;Bill Guthrie;George Moriarty,,
1929/05/10,1929,05,10,CHA192905100,Washington Senators,Chicago White Sox,Comiskey Park I,Bill Dinneen,Dick Nallin,(none),Harry Geisel,,,Bill Dinneen;Dick Nallin;Harry Geisel,,
1929/05/11,1929,05,11,CHA192905110,Washington Senators,Chicago White Sox,Comiskey Park I,Dick Nallin,Harry Geisel,(none),Bill Dinneen,,,Dick Nallin;Harry Geisel;Bill Dinneen,,
1929/05/12,1929,05,12,CHA192905120,Washington Senators,Chicago White Sox,Comiskey Park I,Harry Geisel,Bill Dinneen,(none),Dick Nallin,,,Harry Geisel;Bill Dinneen;Dick Nallin,,
1929/05/13,1929,05,13,CHA192905130,Boston Red Sox,Chicago White Sox,Comiskey Park I,Bill Dinneen,Dick Nallin,(none),(none),,,Bill Dinneen;Dick Nallin,,
1929/05/14,1929,05,14,CHA192905140,Boston Red Sox,Chicago White Sox,Comiskey Park I,Dick Nallin,Bill Dinneen,(none),(none),,,Dick Nallin;Bill Dinneen,,
1929/05/15,1929,05,15,CHA192905150,Boston Red Sox,Chicago White Sox,Comiskey Park I,Bill Dinneen,Dick Nallin,(none),(none),,,Bill Dinneen;Dick Nallin,,
1929/05/24,1929,05,24,CHA192905240,Detroit Tigers,Chicago White Sox,Comiskey Park I,Roy Van Graflan,Bill McGowan,(none),Tommy Connolly,,,Roy Van Graflan;Bill McGowan;Tommy Connolly,,
1929/05/25,1929,05,25,CHA192905251,Detroit Tigers,Chicago White Sox,Comiskey Park I,Bill McGowan,Tommy Connolly,(none),Roy Van Graflan,,,Bill McGowan;Tommy Connolly;Roy Van Graflan,,
1929/05/25,1929,05,25,CHA192905252,Detroit Tigers,Chicago White Sox,Comiskey Park I,Roy Van Graflan,Tommy Connolly,(none),Bill McGowan,,,Roy Van Graflan;Tommy Connolly;Bill McGowan,,
1929/05/26,1929,05,26,CHA192905260,Detroit Tigers,Chicago White Sox,Comiskey Park I,Bill McGowan,Roy Van Graflan,(none),Tommy Connolly,,,Bill McGowan;Roy Van Graflan;Tommy Connolly,,
1929/05/27,1929,05,27,CHA192905271,Detroit Tigers,Chicago White Sox,Comiskey Park I,Roy Van Graflan,Tommy Connolly,(none),Bill McGowan,,,Roy Van Graflan;Tommy Connolly;Bill McGowan,,
1929/05/28,1929,05,28,CHA192905280,Cleveland Guardians,Chicago White Sox,Comiskey Park I,Bill McGowan,Roy Van Graflan,(none),Tommy Connolly,,,Bill McGowan;Roy Van Graflan;Tommy Connolly,,
1929/05/29,1929,05,29,CHA192905290,Cleveland Guardians,Chicago White Sox,Comiskey Park I,Bill McGowan,Tommy Connolly,(none),Bill Guthrie,,,Bill McGowan;Tommy Connolly;Bill Guthrie,,
1929/05/30,1929,05,30,CHA192905301,Cleveland Guardians,Chicago White Sox,Comiskey Park I,Bill Guthrie,Tommy Connolly,(none),Bill McGowan,,,Bill Guthrie;Tommy Connolly;Bill McGowan,,
1929/05/30,1929,05,30,CHA192905302,Cleveland Guardians,Chicago White Sox,Comiskey Park I,Bill McGowan,Bill Guthrie,(none),Tommy Connolly,,,Bill McGowan;Bill Guthrie;Tommy Connolly,,
1929/06/27,1929,06,27,CHA192906270,St.Louis Browns,Chicago White Sox,Comiskey Park I,Harry Geisel,Brick Owens,(none),(none),,,Harry Geisel;Brick Owens,,
1929/06/28,1929,06,28,CHA192906280,St.Louis Browns,Chicago White Sox,Comiskey Park I,Brick Owens,Harry Geisel,(none),(none),,,Brick Owens;Harry Geisel,,
1929/06/29,1929,06,29,CHA192906291,St.Louis Browns,Chicago White Sox,Comiskey Park I,Harry Geisel,Brick Owens,(none),(none),,,Harry Geisel;Brick Owens,,
1929/06/29,1929,06,29,CHA192906292,St.Louis Browns,Chicago White Sox,Comiskey Park I,Brick Owens,Harry Geisel,(none),(none),,,Brick Owens;Harry Geisel,,
1929/07/06,1929,07,06,CHA192907060,Philadelphia Athletics,Chicago White Sox,Comiskey Park I,Dick Nallin,Bill Dinneen,(none),Red Ormsby,,,Dick Nallin;Bill Dinneen;Red Ormsby,,
1929/07/07,1929,07,07,CHA192907070,Philadelphia Athletics,Chicago White Sox,Comiskey Park I,Bill Dinneen,Red Ormsby,(none),Dick Nallin,,,Bill Dinneen;Red Ormsby;Dick Nallin,,
1929/07/08,1929,07,08,CHA192907080,Philadelphia Athletics,Chicago White Sox,Comiskey Park I,Red Ormsby,Dick Nallin,(none),Bill Dinneen,,,Red Ormsby;Dick Nallin;Bill Dinneen,,
1929/07/09,1929,07,09,CHA192907090,Philadelphia Athletics,Chicago White Sox,Comiskey Park I,Dick Nallin,Bill Dinneen,(none),Red Ormsby,,,Dick Nallin;Bill Dinneen;Red Ormsby,,
1929/07/10,1929,07,10,CHA192907100,New York Yankees,Chicago White Sox,Comiskey Park I,Bill Dinneen,Red Ormsby,(none),Dick Nallin,,,Bill Dinneen;Red Ormsby;Dick Nallin,,
1929/07/12,1929,07,12,CHA192907120,New York Yankees,Chicago White Sox,Comiskey Park I,Red Ormsby,Dick Nallin,(none),Bill Dinneen,,,Red Ormsby;Dick Nallin;Bill Dinneen,,
1929/07/13,1929,07,13,CHA192907131,New York Yankees,Chicago White Sox,Comiskey Park I,George Hildebrand,Bill Guthrie,(none),George Moriarty,,,George Hildebrand;Bill Guthrie;George Moriarty,,
1929/07/13,1929,07,13,CHA192907132,New York Yankees,Chicago White Sox,Comiskey Park I,Bill Guthrie,George Moriarty,(none),George Hildebrand,,,Bill Guthrie;George Moriarty;George Hildebrand,Leo Durocher ejected by George Hildebrand,
1929/07/14,1929,07,14,CHA192907140,Washington Senators,Chicago White Sox,Comiskey Park I,Brick Owens,Harry Geisel,(none),Bick Campbell,,,Brick Owens;Harry Geisel;Bick Campbell,,
1929/07/15,1929,07,15,CHA192907150,Washington Senators,Chicago White Sox,Comiskey Park I,Harry Geisel,Bick Campbell,(none),Brick Owens,,,Harry Geisel;Bick Campbell;Brick Owens,,
1929/07/16,1929,07,16,CHA192907160,Washington Senators,Chicago White Sox,Comiskey Park I,Bick Campbell,Brick Owens,(none),Harry Geisel,,,Bick Campbell;Brick Owens;Harry Geisel,,
1929/07/17,1929,07,17,CHA192907170,Washington Senators,Chicago White Sox,Comiskey Park I,Brick Owens,Harry Geisel,(none),Bick Campbell,,,Brick Owens;Harry Geisel;Bick Campbell,,
1929/07/18,1929,07,18,CHA192907180,Boston Red Sox,Chicago White Sox,Comiskey Park I,Harry Geisel,Bick Campbell,(none),Brick Owens,,,Harry Geisel;Bick Campbell;Brick Owens,,
1929/07/19,1929,07,19,CHA192907190,Boston Red Sox,Chicago White Sox,Comiskey Park I,Bick Campbell,Brick Owens,(none),Harry Geisel,,,Bick Campbell;Brick Owens;Harry Geisel,,
1929/07/20,1929,07,20,CHA192907200,Boston Red Sox,Chicago White Sox,Comiskey Park I,Brick Owens,Harry Geisel,(none),Bick Campbell,,,Brick Owens;Harry Geisel;Bick Campbell,,
1929/07/21,1929,07,21,CHA192907210,Boston Red Sox,Chicago White Sox,Comiskey Park I,Harry Geisel,Bick Campbell,(none),Brick Owens,,,Harry Geisel;Bick Campbell;Brick Owens,,
1929/08/08,1929,08,08,CHA192908081,St.Louis Browns,Chicago White Sox,Comiskey Park I,Red Ormsby,Bill Dinneen,(none),(none),,,Red Ormsby;Bill Dinneen,,
1929/08/08,1929,08,08,CHA192908082,St.Louis Browns,Chicago White Sox,Comiskey Park I,Bill Dinneen,Red Ormsby,(none),(none),,,Bill Dinneen;Red Ormsby,,
1929/08/09,1929,08,09,CHA192908090,St.Louis Browns,Chicago White Sox,Comiskey Park I,Red Ormsby,Bill Dinneen,(none),(none),,,Red Ormsby;Bill Dinneen,,
1929/08/10,1929,08,10,CHA192908100,Boston Red Sox,Chicago White Sox,Comiskey Park I,Red Ormsby,Bill Guthrie,(none),George Hildebrand,,,Red Ormsby;Bill Guthrie;George Hildebrand,,
1929/08/11,1929,08,11,CHA192908110,Boston Red Sox,Chicago White Sox,Comiskey Park I,Bill Guthrie,George Hildebrand,(none),Red Ormsby,,,Bill Guthrie;George Hildebrand;Red Ormsby,,
1929/08/12,1929,08,12,CHA192908120,Boston Red Sox,Chicago White Sox,Comiskey Park I,George Hildebrand,Red Ormsby,(none),Bill Guthrie,,,George Hildebrand;Red Ormsby;Bill Guthrie,,
1929/08/13,1929,08,13,CHA192908130,Boston Red Sox,Chicago White Sox,Comiskey Park I,Red Ormsby,Bill Guthrie,(none),George Hildebrand,,,Red Ormsby;Bill Guthrie;George Hildebrand,,
1929/08/14,1929,08,14,CHA192908140,Washington Senators,Chicago White Sox,Comiskey Park I,Bill Guthrie,George Hildebrand,(none),Red Ormsby,,,Bill Guthrie;George Hildebrand;Red Ormsby,,
1929/08/15,1929,08,15,CHA192908150,Washington Senators,Chicago White Sox,Comiskey Park I,George Hildebrand,Red Ormsby,(none),Bill Guthrie,,,George Hildebrand;Red Ormsby;Bill Guthrie,Bill Cissell ejected by George Hildebrand,
1929/08/16,1929,08,16,CHA192908160,Washington Senators,Chicago White Sox,Comiskey Park I,Red Ormsby,Bill Guthrie,(none),George Hildebrand,,,Red Ormsby;Bill Guthrie;George Hildebrand,,
1929/08/17,1929,08,17,CHA192908170,Washington Senators,Chicago White Sox,Comiskey Park I,Bill Guthrie,George Hildebrand,(none),Red Ormsby,,,Bill Guthrie;George Hildebrand;Red Ormsby,,
1929/08/18,1929,08,18,CHA192908180,New York Yankees,Chicago White Sox,Comiskey Park I,Harry Geisel,Roy Van Graflan,(none),George Moriarty,,,Harry Geisel;Roy Van Graflan;George Moriarty,,
1929/08/19,1929,08,19,CHA192908190,New York Yankees,Chicago White Sox,Comiskey Park I,Roy Van Graflan,George Moriarty,(none),Harry Geisel,,,Roy Van Graflan;George Moriarty;Harry Geisel,,
1929/08/20,1929,08,20,CHA192908200,New York Yankees,Chicago White Sox,Comiskey Park I,George Moriarty,Harry Geisel,(none),Roy Van Graflan,,,George Moriarty;Harry Geisel;Roy Van Graflan,,
1929/08/21,1929,08,21,CHA192908210,New York Yankees,Chicago White Sox,Comiskey Park I,Harry Geisel,George Moriarty,(none),Roy Van Graflan,,,Harry Geisel;George Moriarty;Roy Van Graflan,,
1929/08/22,1929,08,22,CHA192908220,Philadelphia Athletics,Chicago White Sox,Comiskey Park I,Roy Van Graflan,George Moriarty,(none),Harry Geisel,,,Roy Van Graflan;George Moriarty;Harry Geisel,,
1929/08/23,1929,08,23,CHA192908230,Philadelphia Athletics,Chicago White Sox,Comiskey Park I,George Moriarty,Harry Geisel,(none),Roy Van Graflan,,,George Moriarty;Harry Geisel;Roy Van Graflan,,
1929/08/24,1929,08,24,CHA192908240,Philadelphia Athletics,Chicago White Sox,Comiskey Park I,Harry Geisel,George Moriarty,(none),Roy Van Graflan,,,Harry Geisel;George Moriarty;Roy Van Graflan,,
1929/08/25,1929,08,25,CHA192908250,Philadelphia Athletics,Chicago White Sox,Comiskey Park I,Roy Van Graflan,George Moriarty,(none),Harry Geisel,,,Roy Van Graflan;George Moriarty;Harry Geisel,,
1929/08/29,1929,08,29,CHA192908290,Cleveland Guardians,Chicago White Sox,Comiskey Park I,George Hildebrand,Red Ormsby,(none),Bill Guthrie,,,George Hildebrand;Red Ormsby;Bill Guthrie,,
1929/08/31,1929,08,31,CHA192908310,Cleveland Guardians,Chicago White Sox,Comiskey Park I,Red Ormsby,Bill Guthrie,(none),George Hildebrand,,,Red Ormsby;Bill Guthrie;George Hildebrand,,
1929/09/01,1929,09,01,CHA192909010,Cleveland Guardians,Chicago White Sox,Comiskey Park I,Bill Guthrie,George Hildebrand,(none),Red Ormsby,,,Bill Guthrie;George Hildebrand;Red Ormsby,,
1929/09/04,1929,09,04,CHA192909040,St.Louis Browns,Chicago White Sox,Comiskey Park I,George Moriarty,Harry Geisel,(none),(none),,,George Moriarty;Harry Geisel,,
1929/10/03,1929,10,03,CHA192910030,Detroit Tigers,Chicago White Sox,Comiskey Park I,Harry Geisel,George Moriarty,(none),Roy Van Graflan,,,Harry Geisel;George Moriarty;Roy Van Graflan,,
1929/10/04,1929,10,04,CHA192910040,Detroit Tigers,Chicago White Sox,Comiskey Park I,George Moriarty,Roy Van Graflan,(none),Harry Geisel,,,George Moriarty;Roy Van Graflan;Harry Geisel,,
1929/10/05,1929,10,05,CHA192910050,Detroit Tigers,Chicago White Sox,Comiskey Park I,Roy Van Graflan,Harry Geisel,(none),George Moriarty,,,Roy Van Graflan;Harry Geisel;George Moriarty,,
1929/04/16,1929,04,16,CHN192904160,Pittsburgh Pirates,Chicago Cubs,Wrigley Field,Bill Klem,Lou Jorda,(none),George Magerkurth,,,Bill Klem;Lou Jorda;George Magerkurth,,
1929/04/17,1929,04,17,CHN192904170,Pittsburgh Pirates,Chicago Cubs,Wrigley Field,Bill Klem,Lou Jorda,(none),George Magerkurth,,,Bill Klem;Lou Jorda;George Magerkurth,,
1929/04/18,1929,04,18,CHN192904180,Pittsburgh Pirates,Chicago Cubs,Wrigley Field,Bill Klem,Lou Jorda,(none),George Magerkurth,,,Bill Klem;Lou Jorda;George Magerkurth,,
1929/04/21,1929,04,21,CHN192904210,St. Louis Cardinals,Chicago Cubs,Wrigley Field,Ernie Quigley,Charlie Moran,(none),Edward McLaughlin,,,Ernie Quigley;Charlie Moran;Edward McLaughlin,,
1929/04/22,1929,04,22,CHN192904220,St. Louis Cardinals,Chicago Cubs,Wrigley Field,Charlie Moran,Edward McLaughlin,(none),Ernie Quigley,,,Charlie Moran;Edward McLaughlin;Ernie Quigley,,
1929/04/23,1929,04,23,CHN192904230,St. Louis Cardinals,Chicago Cubs,Wrigley Field,Charlie Moran,Edward McLaughlin,(none),Ernie Quigley,,,Charlie Moran;Edward McLaughlin;Ernie Quigley,,
1929/05/17,1929,05,17,CHN192905170,Cincinnati Reds,Chicago Cubs,Wrigley Field,Bob Hart,Cy Rigler,(none),Edward McLaughlin,,,Bob Hart;Cy Rigler;Edward McLaughlin,,
1929/05/18,1929,05,18,CHN192905180,Cincinnati Reds,Chicago Cubs,Wrigley Field,Cy Rigler,Edward McLaughlin,(none),Bob Hart,,,Cy Rigler;Edward McLaughlin;Bob Hart,,
1929/05/19,1929,05,19,CHN192905190,Pittsburgh Pirates,Chicago Cubs,Wrigley Field,Bob Hart,Cy Rigler,(none),Edward McLaughlin,,,Bob Hart;Cy Rigler;Edward McLaughlin,,
1929/05/20,1929,05,20,CHN192905200,Pittsburgh Pirates,Chicago Cubs,Wrigley Field,Cy Rigler,Bob Hart,(none),Edward McLaughlin,,,Cy Rigler;Bob Hart;Edward McLaughlin,,
1929/05/21,1929,05,21,CHN192905210,Pittsburgh Pirates,Chicago Cubs,Wrigley Field,Bob Hart,Cy Rigler,(none),Edward McLaughlin,,,Bob Hart;Cy Rigler;Edward McLaughlin,,
1929/05/26,1929,05,26,CHN192905260,Cincinnati Reds,Chicago Cubs,Wrigley Field,Lou Jorda,Bill Klem,(none),George Magerkurth,,,Lou Jorda;Bill Klem;George Magerkurth,,
1929/06/01,1929,06,01,CHN192906010,New York Giants,Chicago Cubs,Wrigley Field,Bill Klem,George Magerkurth,(none),Lou Jorda,,,Bill Klem;George Magerkurth;Lou Jorda,,
1929/06/02,1929,06,02,CHN192906020,New York Giants,Chicago Cubs,Wrigley Field,Lou Jorda,Bill Klem,(none),George Magerkurth,,,Lou Jorda;Bill Klem;George Magerkurth,,
1929/06/03,1929,06,03,CHN192906030,New York Giants,Chicago Cubs,Wrigley Field,Bill Klem,George Magerkurth,(none),Lou Jorda,,,Bill Klem;George Magerkurth;Lou Jorda,,
1929/06/04,1929,06,04,CHN192906040,New York Giants,Chicago Cubs,Wrigley Field,Lou Jorda,Bill Klem,(none),George Magerkurth,,,Lou Jorda;Bill Klem;George Magerkurth,,
