Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1920/08/26,1920,08,26,BOS192008260,St.Louis Browns,Boston Red Sox,Fenway Park,Brick Owens,Ollie Chill,(none),(none),,,Brick Owens;Ollie Chill,,
1920/08/27,1920,08,27,BOS192008270,St.Louis Browns,Boston Red Sox,Fenway Park,Ollie Chill,Brick Owens,(none),(none),,,Ollie Chill;Brick Owens,,
1920/08/28,1920,08,28,BOS192008280,St.Louis Browns,Boston Red Sox,Fenway Park,Brick Owens,Ollie Chill,(none),(none),,,Brick Owens;Ollie Chill,,
1920/08/30,1920,08,30,BOS192008300,Chicago White Sox,Boston Red Sox,Fenway Park,Ollie Chill,Brick Owens,(none),(none),,,Ollie Chill;Brick Owens,,
1920/08/31,1920,08,31,BOS192008310,Chicago White Sox,Boston Red Sox,Fenway Park,Brick Owens,Ollie Chill,(none),(none),,,Brick Owens;Ollie Chill,,
1920/09/01,1920,09,01,BOS192009010,Chicago White Sox,Boston Red Sox,Fenway Park,Ollie Chill,Brick Owens,(none),(none),,,Ollie Chill;Brick Owens,,
1920/09/02,1920,09,02,BOS192009020,New York Yankees,Boston Red Sox,Fenway Park,Brick Owens,Tommy Connolly,(none),(none),,,Brick Owens;Tommy Connolly,,
1920/09/03,1920,09,03,BOS192009030,New York Yankees,Boston Red Sox,Fenway Park,Tommy Connolly,Brick Owens,(none),(none),,,Tommy Connolly;Brick Owens,,
1920/09/04,1920,09,04,BOS192009041,New York Yankees,Boston Red Sox,Fenway Park,Brick Owens,Tommy Connolly,(none),(none),,,Brick Owens;Tommy Connolly,,
1920/09/04,1920,09,04,BOS192009042,New York Yankees,Boston Red Sox,Fenway Park,Tommy Connolly,Brick Owens,(none),(none),,,Tommy Connolly;Brick Owens,,
1920/09/23,1920,09,23,BOS192009230,Philadelphia Athletics,Boston Red Sox,Fenway Park,Dick Nallin,Bill Dinneen,(none),(none),,,Dick Nallin;Bill Dinneen,,
1920/09/24,1920,09,24,BOS192009240,Philadelphia Athletics,Boston Red Sox,Fenway Park,Bill Dinneen,Dick Nallin,(none),(none),,,Bill Dinneen;Dick Nallin,,
1920/09/25,1920,09,25,BOS192009250,Philadelphia Athletics,Boston Red Sox,Fenway Park,Dick Nallin,Bill Dinneen,(none),(none),,,Dick Nallin;Bill Dinneen,,
1920/09/27,1920,09,27,BOS192009271,Washington Senators,Boston Red Sox,Fenway Park,Bill Dinneen,Dick Nallin,(none),(none),,,Bill Dinneen;Dick Nallin,,
1920/09/27,1920,09,27,BOS192009272,Washington Senators,Boston Red Sox,Fenway Park,Bill Dinneen,Dick Nallin,(none),(none),,,Bill Dinneen;Dick Nallin,,
1920/09/28,1920,09,28,BOS192009281,Washington Senators,Boston Red Sox,Fenway Park,Dick Nallin,Bill Dinneen,(none),(none),,,Dick Nallin;Bill Dinneen,,
1920/04/14,1920,04,14,BRO192004140,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Barry McCormick,Bob Hart,(none),(none),,,Barry McCormick;Bob Hart,,
1920/04/15,1920,04,15,BRO192004150,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Bob Hart,Barry McCormick,(none),(none),,,Bob Hart;Barry McCormick,,
1920/04/18,1920,04,18,BRO192004180,Boston Braves,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Pete Harrison,(none),(none),,,Hank O'Day;Pete Harrison,,
1920/04/19,1920,04,19,BRO192004190,Boston Braves,Brooklyn Dodgers,Ebbets Field,Pete Harrison,Hank O'Day,(none),(none),,,Pete Harrison;Hank O'Day,,
1920/04/20,1920,04,20,BRO192004200,Boston Braves,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Pete Harrison,(none),(none),,,Hank O'Day;Pete Harrison,Hi Myers ejected by Hank O'Day;Oscar Dugey ejected by Hank O'Day;John Sullivan ejected by Hank O'Day;Hod Ford ejected by Hank O'Day;Hugh McQuillan ejected by Hank O'Day,
1920/04/25,1920,04,25,BRO192004250,New York Giants,Brooklyn Dodgers,Ebbets Field,Barry McCormick,Bob Hart,(none),(none),,,Barry McCormick;Bob Hart,,
1920/04/26,1920,04,26,BRO192004260,New York Giants,Brooklyn Dodgers,Ebbets Field,Bob Hart,Barry McCormick,(none),(none),,,Bob Hart;Barry McCormick,,
1920/04/29,1920,04,29,BRO192004290,New York Giants,Brooklyn Dodgers,Ebbets Field,Barry McCormick,Bob Hart,(none),(none),,,Barry McCormick;Bob Hart,,
1920/05/02,1920,05,02,BRO192005020,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Pete Harrison,Hank O'Day,(none),(none),,,Pete Harrison;Hank O'Day,,
1920/05/09,1920,05,09,BRO192005090,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Bob Hart,Barry McCormick,(none),(none),,,Bob Hart;Barry McCormick,Walt Tragesser ejected by Bob Hart,
1920/05/23,1920,05,23,BRO192005230,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Cy Rigler,(none),(none),,,Charlie Moran;Cy Rigler,,
1920/05/27,1920,05,27,BRO192005270,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/05/28,1920,05,28,BRO192005280,Boston Braves,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/05/29,1920,05,29,BRO192005291,Boston Braves,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/05/29,1920,05,29,BRO192005292,Boston Braves,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/05/30,1920,05,30,BRO192005300,Boston Braves,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/05/31,1920,05,31,BRO192005311,New York Giants,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/05/31,1920,05,31,BRO192005312,New York Giants,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/06/01,1920,06,01,BRO192006010,New York Giants,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/06/06,1920,06,06,BRO192006060,New York Giants,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/06/07,1920,06,07,BRO192006070,New York Giants,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Cy Rigler,(none),(none),,,Charlie Moran;Cy Rigler,,
1920/06/08,1920,06,08,BRO192006080,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Charlie Moran,(none),(none),,,Cy Rigler;Charlie Moran,,
1920/06/09,1920,06,09,BRO192006090,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Cy Rigler,(none),(none),,,Charlie Moran;Cy Rigler,,
1920/06/10,1920,06,10,BRO192006100,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Charlie Moran,(none),(none),,,Cy Rigler;Charlie Moran,Otto Miller ejected by Cy Rigler,
1920/06/11,1920,06,11,BRO192006110,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Cy Rigler,(none),(none),,,Charlie Moran;Cy Rigler,,
1920/06/12,1920,06,12,BRO192006120,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/06/13,1920,06,13,BRO192006130,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/06/14,1920,06,14,BRO192006140,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/06/15,1920,06,15,BRO192006150,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/06/19,1920,06,19,BRO192006190,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Hank O'Day,(none),(none),,,Ernie Quigley;Hank O'Day,,
1920/06/20,1920,06,20,BRO192006200,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Ernie Quigley,(none),(none),,,Hank O'Day;Ernie Quigley,,
1920/06/22,1920,06,22,BRO192006220,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Pete Harrison,Barry McCormick,(none),(none),,,Pete Harrison;Barry McCormick,,
1920/06/23,1920,06,23,BRO192006230,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Barry McCormick,Pete Harrison,(none),(none),,,Barry McCormick;Pete Harrison,,
1920/06/24,1920,06,24,BRO192006240,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Pete Harrison,Barry McCormick,(none),(none),,,Pete Harrison;Barry McCormick,,
1920/06/27,1920,06,27,BRO192006270,New York Giants,Brooklyn Dodgers,Ebbets Field,Pete Harrison,Barry McCormick,(none),(none),,,Pete Harrison;Barry McCormick,,
1920/07/02,1920,07,02,BRO192007020,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Bob Hart,Pete Harrison,(none),(none),,,Bob Hart;Pete Harrison,,
1920/07/03,1920,07,03,BRO192007030,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Pete Harrison,Bob Hart,(none),(none),,,Pete Harrison;Bob Hart,,
1920/07/04,1920,07,04,BRO192007041,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Bob Hart,Pete Harrison,(none),(none),,,Bob Hart;Pete Harrison,,
1920/07/04,1920,07,04,BRO192007042,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Pete Harrison,Bob Hart,(none),(none),,,Pete Harrison;Bob Hart,,
1920/07/25,1920,07,25,BRO192007250,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Bob Hart,Pete Harrison,(none),(none),,,Bob Hart;Pete Harrison,,
1920/07/26,1920,07,26,BRO192007260,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Pete Harrison,Bob Hart,(none),(none),,,Pete Harrison;Bob Hart,,
1920/07/27,1920,07,27,BRO192007270,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/07/28,1920,07,28,BRO192007280,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/07/29,1920,07,29,BRO192007290,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/07/30,1920,07,30,BRO192007300,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bill Klem,Barry McCormick,(none),(none),,,Bill Klem;Barry McCormick,Heinie Groh ejected by Bill Klem,
1920/07/31,1920,07,31,BRO192007310,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Pete Harrison,Bob Hart,(none),(none),,,Pete Harrison;Bob Hart,,
1920/08/01,1920,08,01,BRO192008010,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Bob Hart,Pete Harrison,(none),(none),,,Bob Hart;Pete Harrison,,
1920/08/02,1920,08,02,BRO192008020,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Pete Harrison,Bob Hart,(none),(none),,,Pete Harrison;Bob Hart,,
1920/08/03,1920,08,03,BRO192008030,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Bob Hart,Pete Harrison,(none),(none),,,Bob Hart;Pete Harrison,,
1920/08/05,1920,08,05,BRO192008050,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Charlie Moran,(none),(none),,,Cy Rigler;Charlie Moran,,
1920/08/07,1920,08,07,BRO192008070,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Cy Rigler,(none),(none),,,Charlie Moran;Cy Rigler,,
1920/08/08,1920,08,08,BRO192008080,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Charlie Moran,(none),(none),,,Cy Rigler;Charlie Moran,,
1920/08/09,1920,08,09,BRO192008090,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Hank O'Day,(none),(none),,,Ernie Quigley;Hank O'Day,,
1920/08/11,1920,08,11,BRO192008111,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Ernie Quigley,(none),(none),,,Hank O'Day;Ernie Quigley,,
1920/08/11,1920,08,11,BRO192008112,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Hank O'Day,(none),(none),,,Ernie Quigley;Hank O'Day,,
1920/08/12,1920,08,12,BRO192008120,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Ernie Quigley,(none),(none),,,Hank O'Day;Ernie Quigley,,
1920/08/15,1920,08,15,BRO192008150,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Barry McCormick,(none),(none),,,Cy Rigler;Barry McCormick,,
1920/09/03,1920,09,03,BRO192009030,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Ernie Quigley,(none),(none),,,Hank O'Day;Ernie Quigley,,
1920/09/04,1920,09,04,BRO192009040,Boston Braves,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Hank O'Day,(none),(none),,,Ernie Quigley;Hank O'Day,,
1920/09/05,1920,09,05,BRO192009050,Boston Braves,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Ernie Quigley,(none),(none),,,Hank O'Day;Ernie Quigley,,
1920/09/09,1920,09,09,BRO192009090,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/09/10,1920,09,10,BRO192009100,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/09/11,1920,09,11,BRO192009111,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/09/11,1920,09,11,BRO192009112,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,Pickles Dillhoefer ejected by Bill Klem;Cliff Heathcote ejected by Bob Emslie,
1920/09/12,1920,09,12,BRO192009120,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1920/09/13,1920,09,13,BRO192009131,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Ernie Quigley,(none),(none),,,Hank O'Day;Ernie Quigley,,
1920/09/13,1920,09,13,BRO192009132,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Hank O'Day,(none),(none),,,Ernie Quigley;Hank O'Day,,
1920/09/14,1920,09,14,BRO192009140,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Ernie Quigley,(none),(none),,,Hank O'Day;Ernie Quigley,,
1920/09/15,1920,09,15,BRO192009150,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Hank O'Day,(none),(none),,,Ernie Quigley;Hank O'Day,,
1920/09/16,1920,09,16,BRO192009160,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Charlie Moran,(none),(none),,,Cy Rigler;Charlie Moran,,
1920/09/17,1920,09,17,BRO192009170,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Cy Rigler,(none),(none),,,Charlie Moran;Cy Rigler,,
1920/09/18,1920,09,18,BRO192009180,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Charlie Moran,(none),(none),,,Cy Rigler;Charlie Moran,,
1920/09/19,1920,09,19,BRO192009190,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Cy Rigler,(none),(none),,,Charlie Moran;Cy Rigler,,
1920/09/20,1920,09,20,BRO192009200,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Charlie Moran,(none),(none),,,Cy Rigler;Charlie Moran,,
1920/09/22,1920,09,22,BRO192009220,Boston Braves,Brooklyn Dodgers,Ebbets Field,Pete Harrison,Barry McCormick,(none),(none),,,Pete Harrison;Barry McCormick,,
