Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1958/07/08,1958,07,08,ALS195807080,National League All Stars,American League All Stars,Memorial Stadium,Eddie Rommel,Tom Gorman,Bill McKinley,Jocko Conlan,Frank Umont,Frank Secory,Eddie Rommel;Tom Gorman;Bill McKinley;Jocko Conlan;Frank Umont;Frank Secory,,Home: Jocko Conlan 5th inning;FirstBase: Bill McKinley 5th inning;SecondBase: Tom Gorman 5th inning;ThirdBase: Eddie Rommel 5th inning
1959/07/07,1959,07,07,NLS195907070,American League All Stars,National League All Stars,Forbes Field,Al Barlick,Ed Runge,Augie Donatelli,Joe Paparella,Shag Crawford,John Rice,Al Barlick;Ed Runge;Augie Donatelli;Joe Paparella;Shag Crawford;John Rice,,Home: Joe Paparella 5th inning;FirstBase: Augie Donatelli 5th inning;SecondBase: Ed Runge 5th inning;ThirdBase: Al Barlick 5th inning
1959/08/03,1959,08,03,NLS195908030,American League All Stars,National League All Stars,Los Angeles Memorial Coliseum,Bill Jackowski,Charlie Berry,Tony Venzon,Bill Summers,Ken Burkhart,Hank Soar,Bill Jackowski;Charlie Berry;Tony Venzon;Bill Summers;Ken Burkhart;Hank Soar,,Home: Bill Summers 5th inning;FirstBase: Tony Venzon 5th inning;SecondBase: Charlie Berry 5th inning;ThirdBase: Bill Jackowski 5th inning
1960/07/11,1960,07,11,ALS196007110,National League All Stars,American League All Stars,Municipal Stadium,Jim Honochick,Tom Gorman,Nestor Chylak,Dusty Boggess,Johnny Stevens,Vinnie Smith,Jim Honochick;Tom Gorman;Nestor Chylak;Dusty Boggess;Johnny Stevens;Vinnie Smith,,Home: Dusty Boggess 5th inning;FirstBase: Nestor Chylak 5th inning;SecondBase: Tom Gorman 5th inning;ThirdBase: Jim Honochick 5th inning
1960/07/13,1960,07,13,ALS196007130,National League All Stars,American League All Stars,Yankee Stadium I,Nestor Chylak,Dusty Boggess,Jim Honochick,Tom Gorman,Johnny Stevens,Vinnie Smith,Nestor Chylak;Dusty Boggess;Jim Honochick;Tom Gorman;Johnny Stevens;Vinnie Smith,,Home: Tom Gorman 5th inning;FirstBase: Jim Honochick 5th inning;SecondBase: Dusty Boggess 5th inning;ThirdBase: Nestor Chylak 5th inning
1961/07/11,1961,07,11,NLS196107110,American League All Stars,National League All Stars,Candlestick Park,Stan Landes,Frank Umont,Shag Crawford,Ed Runge,Ed Vargo,Cal Drummond,Stan Landes;Frank Umont;Shag Crawford;Ed Runge;Ed Vargo;Cal Drummond,,Home: Ed Runge 5th inning;FirstBase: Shag Crawford 5th inning;SecondBase: Frank Umont 5th inning;ThirdBase: Stan Landes 5th inning
1961/07/31,1961,07,31,ALS196107310,National League All Stars,American League All Stars,Fenway Park,Larry Napp,Frank Secory,Red Flaherty,Ed Sudol,Al Smith,Chris Pelekoudas,Larry Napp;Frank Secory;Red Flaherty;Ed Sudol;Al Smith;Chris Pelekoudas,,
1962/07/10,1962,07,10,ALS196207100,National League All Stars,American League All Stars,Robert F. Kennedy Stadium,Eddie Hurley,Augie Donatelli,Bob Stewart,Tony Venzon,Mel Steiner,Harry Schwarts,Eddie Hurley;Augie Donatelli;Bob Stewart;Tony Venzon;Mel Steiner;Harry Schwarts,,
1962/07/30,1962,07,30,NLS196207300,American League All Stars,National League All Stars,Wrigley Field,Jocko Conlan,Bill McKinley,Ken Burkhart,John Rice,Al Forman,Bill Kinnamon,Jocko Conlan;Bill McKinley;Ken Burkhart;John Rice;Al Forman;Bill Kinnamon,,
1963/07/09,1963,07,09,ALS196307090,National League All Stars,American League All Stars,Cleveland Stadium,Hank Soar,Bill Jackowski,Al Smith,Paul Pryor,Bill Haller,Doug Harvey,Hank Soar;Bill Jackowski;Al Smith;Paul Pryor;Bill Haller;Doug Harvey,,
1964/07/07,1964,07,07,NLS196407070,American League All Stars,National League All Stars,Shea Stadium,Ed Sudol,Joe Paparella,Frank Secory,Nestor Chylak,Doug Harvey,Al Salerno,Ed Sudol;Joe Paparella;Frank Secory;Nestor Chylak;Doug Harvey;Al Salerno,,
1965/07/13,1965,07,13,ALS196507130,National League All Stars,American League All Stars,Metropolitan Stadium,Johnny Stevens,Lee Weyer,Lou DiMuro,Bill Williams,Bill Valentine,John Kibler,Johnny Stevens;Lee Weyer;Lou DiMuro;Bill Williams;Bill Valentine;John Kibler,,
1966/07/12,1966,07,12,NLS196607120,American League All Stars,National League All Stars,Busch Stadium II,Al Barlick,Frank Umont,Ed Vargo,Jim Honochick,Jerry Neudecker,Bob Engel,Al Barlick;Frank Umont;Ed Vargo;Jim Honochick;Jerry Neudecker;Bob Engel,,Home: Jim Honochick 6th inning;FirstBase: Ed Vargo 6th inning;SecondBase: Frank Umont 6th inning;ThirdBase: Al Barlick 6th inning
1967/07/11,1967,07,11,ALS196707110,National League All Stars,American League All Stars,Angel Stadium of Anaheim,Ed Runge,Frank Secory,Lou DiMuro,Ken Burkhart,Emmett Ashford,Chris Pelekoudas,Ed Runge;Frank Secory;Lou DiMuro;Ken Burkhart;Emmett Ashford;Chris Pelekoudas,,
1968/07/09,1968,07,09,NLS196807090,American League All Stars,National League All Stars,Astrodome,Shag Crawford,Larry Napp,Mel Steiner,Bill Kinnamon,Jim Odom,Harry Wendelstedt,Shag Crawford;Larry Napp;Mel Steiner;Bill Kinnamon;Jim Odom;Harry Wendelstedt,,
1969/07/23,1969,07,23,ALS196907230,National League All Stars,American League All Stars,Robert F. Kennedy Stadium,Red Flaherty,Augie Donatelli,Bob Stewart,Tom Gorman,Marty Springstead,Tony Venzon,Red Flaherty;Augie Donatelli;Bob Stewart;Tom Gorman;Marty Springstead;Tony Venzon,,
1970/07/14,1970,07,14,NLS197007140,American League All Stars,National League All Stars,Cinergy Field,Al Barlick,John Rice,Frank Secory,Bill Haller,Frank Dezelan,Russ Goetz,Al Barlick;John Rice;Frank Secory;Bill Haller;Frank Dezelan;Russ Goetz,,
1971/07/13,1971,07,13,ALS197107130,National League All Stars,American League All Stars,Tiger Stadium,Frank Umont,Paul Pryor,Jake O'Donnell,Doug Harvey,Don Denkinger,Nick Colosi,Frank Umont;Paul Pryor;Jake O'Donnell;Doug Harvey;Don Denkinger;Nick Colosi,,
1972/07/25,1972,07,25,NLS197207250,American League All Stars,National League All Stars,Atlanta-Fulton County Stadium,Stan Landes,Lou DiMuro,Lee Weyer,Jerry Neudecker,Jerry Dale,Bill Kunkel,Stan Landes;Lou DiMuro;Lee Weyer;Jerry Neudecker;Jerry Dale;Bill Kunkel,,
1973/07/24,1973,07,24,ALS197307240,National League All Stars,American League All Stars,Kauffman Stadium,Nestor Chylak,Ken Burkhart,Larry Barnett,Bill Williams,Ron Luciano,Bob Engel,Nestor Chylak;Ken Burkhart;Larry Barnett;Bill Williams;Ron Luciano;Bob Engel,,
1974/07/23,1974,07,23,NLS197407230,American League All Stars,National League All Stars,Three Rivers Stadium,Ed Sudol,Art Frantz,Ed Vargo,Merle Anthony,John Kibler,George Maloney,Ed Sudol;Art Frantz;Ed Vargo;Merle Anthony;John Kibler;George Maloney,,
1975/07/15,1975,07,15,ALS197507150,National League All Stars,American League All Stars,County Stadium,Bill Haller,Chris Pelekoudas,Marty Springstead,Bruce Froemming,Russ Goetz,John McSherry,Bill Haller;Chris Pelekoudas;Marty Springstead;Bruce Froemming;Russ Goetz;John McSherry,,
1976/07/13,1976,07,13,NLS197607130,American League All Stars,National League All Stars,Veterans Stadium,Harry Wendelstedt,Jerry Neudecker,Andy Olsen,Don Denkinger,Satch Davidson,Jim Evans,Harry Wendelstedt;Jerry Neudecker;Andy Olsen;Don Denkinger;Satch Davidson;Jim Evans,,
1977/07/19,1977,07,19,ALS197707190,National League All Stars,American League All Stars,Yankee Stadium I,Bill Kunkel,Doug Harvey,Dave Phillips,Dick Stello,Frank Pulli,Joe Brinkman,Bill Kunkel;Doug Harvey;Dave Phillips;Dick Stello;Frank Pulli;Joe Brinkman,,
1978/07/11,1978,07,11,NLS197807110,American League All Stars,National League All Stars,Qualcomm Stadium,Paul Pryor,Nestor Chylak,Terry Tata,Bill Deegan,Paul Runge,Larry McCoy,Paul Pryor;Nestor Chylak;Terry Tata;Bill Deegan;Paul Runge;Larry McCoy,,
1979/07/17,1979,07,17,ALS197907170,National League All Stars,American League All Stars,Kingdome,George Maloney,Lee Weyer,Nick Bremigan,Bill Williams,Terry Cooney,Dutch Rennert,George Maloney;Lee Weyer;Nick Bremigan;Bill Williams;Terry Cooney;Dutch Rennert,,
1980/07/08,1980,07,08,NLS198007080,American League All Stars,National League All Stars,Dodger Stadium,John Kibler,Larry Barnett,Nick Colosi,Jim McKean,Jerry Dale,Rich Garcia,John Kibler;Larry Barnett;Nick Colosi;Jim McKean;Jerry Dale;Rich Garcia,,
