Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1940/09/29,1940,09,29,BOS194009292,Philadelphia Athletics,Boston Red Sox,Fenway Park,George Moriarty,Eddie Rommel,(none),Bill McGowan,,,George Moriarty;Eddie Rommel;Bill McGowan,,
1940/04/19,1940,04,19,BRO194004190,New York Giants,Brooklyn Dodgers,Ebbets Field,Babe Pinelli,Larry Goetz,(none),Beans Reardon,,,Babe Pinelli;Larry Goetz;Beans Reardon,,
1940/04/23,1940,04,23,BRO194004230,Boston Braves,Brooklyn Dodgers,Ebbets Field,Larry Goetz,Beans Reardon,(none),Babe Pinelli,,,Larry Goetz;Beans Reardon;Babe Pinelli,,
1940/04/24,1940,04,24,BRO194004240,Boston Braves,Brooklyn Dodgers,Ebbets Field,Beans Reardon,Babe Pinelli,(none),Larry Goetz,,,Beans Reardon;Babe Pinelli;Larry Goetz,,
1940/05/10,1940,05,10,BRO194005100,New York Giants,Brooklyn Dodgers,Ebbets Field,George Barr,George Magerkurth,(none),Bill Stewart,,,George Barr;George Magerkurth;Bill Stewart,,
1940/05/11,1940,05,11,BRO194005110,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,George Magerkurth,Bill Stewart,(none),George Barr,,,George Magerkurth;Bill Stewart;George Barr,,
1940/05/12,1940,05,12,BRO194005120,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Bill Stewart,George Barr,(none),George Magerkurth,,,Bill Stewart;George Barr;George Magerkurth,,
1940/05/13,1940,05,13,BRO194005130,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,George Barr,George Magerkurth,(none),Bill Stewart,,,George Barr;George Magerkurth;Bill Stewart,,
1940/05/14,1940,05,14,BRO194005140,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bick Campbell,Bill Klem,(none),Lee Ballanfant,,,Bick Campbell;Bill Klem;Lee Ballanfant,,
1940/05/15,1940,05,15,BRO194005150,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bill Klem,Lee Ballanfant,(none),Bick Campbell,,,Bill Klem;Lee Ballanfant;Bick Campbell,,
1940/05/17,1940,05,17,BRO194005170,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Larry Goetz,Beans Reardon,(none),Babe Pinelli,,,Larry Goetz;Beans Reardon;Babe Pinelli,,
1940/05/18,1940,05,18,BRO194005180,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Beans Reardon,Babe Pinelli,(none),Larry Goetz,,,Beans Reardon;Babe Pinelli;Larry Goetz,,
